,Name2,Name1,ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_Length,Name_Og,Name_Og2,Name_corr
40,Location 1,Location 38,1976,Location 38 - Location 1,38,1,52,160552.582,SACD.4,Tisdale Weir,SACD.4-Tisdale Weir
41,Location 1,Location 44,2288,Location 44 - Location 1,44,1,52,137992.0289,SBE.u,Tisdale Weir,SBE.u-Tisdale Weir
42,Location 1,Location 50,2600,Location 50 - Location 1,50,1,52,155937.1512,STMD.4,Tisdale Weir,STMD.4-Tisdale Weir
43,Location 1,Location 8,416,Location 8 - Location 1,8,1,52,157259.2382,CCH.1,Tisdale Weir,CCH.1-Tisdale Weir
44,Location 1,Location 13,676,Location 13 - Location 1,13,1,52,173817.2308,LPS.u,Tisdale Weir,LPS.u-Tisdale Weir
45,Location 1,Location 5,260,Location 5 - Location 1,5,1,52,118033.8872,BF.1,Tisdale Weir,BF.1-Tisdale Weir
46,Location 1,Location 49,2548,Location 49 - Location 1,49,1,52,155946.2746,STMD.3,Tisdale Weir,STMD.3-Tisdale Weir
47,Location 1,Location 6,312,Location 6 - Location 1,6,1,52,118016.8804,BF.2,Tisdale Weir,BF.2-Tisdale Weir
48,Location 1,Location 11,572,Location 11 - Location 1,11,1,52,149828.4834,GEO.u,Tisdale Weir,GEO.u-Tisdale Weir
49,Location 1,Location 45,2340,Location 45 - Location 1,45,1,52,150001.719,SBGD.2,Tisdale Weir,SBGD.2-Tisdale Weir
50,Location 1,Location 47,2444,Location 47 - Location 1,47,1,52,155847.6435,STMD.1,Tisdale Weir,STMD.1-Tisdale Weir
51,Location 1,Location 9,468,Location 9 - Location 1,9,1,52,157246.0366,CCH.2,Tisdale Weir,CCH.2-Tisdale Weir
52,Location 1,Location 51,2652,Location 51 - Location 1,51,1,52,140509.166,STMU.1,Tisdale Weir,STMU.1-Tisdale Weir
53,Location 10,Location 44,2247,Location 44 - Location 10,44,10,11,13961.0476,SBE.u,GEO.d,SBE.u-GEO.d
54,Location 10,Location 33,1669,Location 33 - Location 10,33,10,5,22090.31439,MOK.d,GEO.d,MOK.d-GEO.d
55,Location 10,Location 50,2570,Location 50 - Location 10,50,10,22,23648.41939,STMD.4,GEO.d,STMD.4-GEO.d
56,Location 10,Location 38,1938,Location 38 - Location 10,38,10,14,19032.98865,SACD.4,GEO.d,SACD.4-GEO.d
57,Location 10,Location 48,2466,Location 48 - Location 10,48,10,22,23745.0693,STMD.2,GEO.d,STMD.2-GEO.d
58,Location 10,Location 34,1721,Location 34 - Location 10,34,10,5,21986.4449,MOK.u,GEO.d,MOK.u-GEO.d
59,Location 10,Location 7,326,Location 7 - Location 10,7,10,14,31795.53495,BF.4,GEO.d,BF.4-GEO.d
60,Location 10,Location 4,179,Location 4 - Location 10,4,10,23,80657.86583,Yolo Bypass @ I5,GEO.d,Yolo Bypass @ I5-GEO.d
61,Location 10,Location 31,1601,Location 31 - Location 10,31,10,41,51025.22852,MAL.8a,GEO.d,MAL.8a-GEO.d
