"","Name_corr","mean_Total_Length"
"150","Georgiana-I_80_1",67180.60524
"151","Georgiana-KLB",102718.35915
"152","Georgiana-Lisbon",56333.9047
"153","Georgiana-Miner",27873.92806
"154","Georgiana-MS01",100917.588375
"155","Georgiana-MS02",97798.734295
"156","Georgiana-MS03",96345.0303766667
"157","Georgiana-MS04",95539.0577775
"158","Georgiana-MS05",94486.1304475
"159","Georgiana-MS06",90889.8734033333
"160","Georgiana-MS07",87721.33072
"161","Georgiana-MS08",80294.6353466667
"162","Georgiana-MS09",76530.59676
"163","Georgiana-MS10",70822.668994
"164","Georgiana-MS11",71341.07245
"165","Georgiana-MS12",50253.9995533333
"166","Georgiana-MS13",28342.173962
"167","Georgiana-MS14",8560.66499446
"168","Georgiana-MS15",12748.21268
"169","Georgiana-MS16",22484.99451
"170","Georgiana-RM61",55882.2677
"171","Georgiana-RM71",72867.339775
"172","Georgiana-RM80_5",88461.97817
"173","Georgiana-RM88",98677.75963
"174","Georgiana-Rstr",41774.27124
"175","Georgiana-SacMouth",18442.12333
"176","Georgiana-Sacramento_Release",109433.3199
"177","Georgiana-Steamboat",12609.89362
"178","Georgiana-Sutter",12752.82574
"179","Georgiana-UpperMiner",21906.36307
"180","Georgiana-Yolo_Release",80160.17524
"181","I_80_1-Base_TD",39727.138
"182","I_80_1-BaseSteamboat",46752.8423
"183","I_80_1-BC_joint",40208.2531013333
"184","I_80_1-Chipps",77282.7813029167
"185","I_80_1-Georgiana",67180.60524
"186","I_80_1-I_80_1",0
"187","I_80_1-KLB",149645.1651
"188","I_80_1-Lisbon",10846.70054
"189","I_80_1-Miner",41208.39449
"190","I_80_1-MS01",147844.394275
"191","I_80_1-MS02",144725.54025
"192","I_80_1-MS03",143271.8363
"193","I_80_1-MS04",142465.863725
"194","I_80_1-MS05",141412.9364
"195","I_80_1-MS06",137816.679366667
"196","I_80_1-MS07",134648.13665
"197","I_80_1-MS08",127221.4413
"198","I_80_1-MS09",123457.4027
"199","I_80_1-MS10",117749.47494
"200","I_80_1-MS11",4160.467202
"201","I_80_1-MS12",97180.8055033333
"202","I_80_1-MS13",75268.97991
"203","I_80_1-MS14",65039.715536
"204","I_80_1-MS15",79308.779
"205","I_80_1-MS16",52267.00585
"206","I_80_1-RM61",102809.0736
"207","I_80_1-RM71",119794.14575
"208","I_80_1-RM80_5",135388.7841
"209","I_80_1-RM88",145604.5656
"210","I_80_1-Rstr",25406.334005
"211","I_80_1-SacMouth",48738.48191
"212","I_80_1-Sacramento_Release",156360.1259
"213","I_80_1-Steamboat",60669.01078
"214","I_80_1-Sutter",59117.67124
"215","I_80_1-UpperMiner",49964.13391
"216","I_80_1-Yolo_Release",12979.56999
"217","KLB-Base_TD",116546.514575
"218","KLB-BaseSteamboat",110995.06755
"219","KLB-BC_joint",119615.1415
"220","KLB-Chipps",142495.765683333
"221","KLB-Georgiana",102718.35915
"222","KLB-I_80_1",149645.1651
"223","KLB-KLB",146.1465337
"224","KLB-Lisbon",138798.46455
"225","KLB-Miner",108436.77065
"226","KLB-MS01",1816.6764738
"227","KLB-MS02",4919.624872625
"228","KLB-MS03",6373.3287885
"229","KLB-MS04",7179.301387375
"230","KLB-MS05",8232.2287195
"231","KLB-MS06",11828.4857621667
"232","KLB-MS07",14997.02844875
"233","KLB-MS08",22423.72382
"234","KLB-MS09",26187.76241
"235","KLB-MS10",31895.690173
"236","KLB-MS11",153805.63235
"237","KLB-MS12",52464.3596116667
"238","KLB-MS13",74376.185205
"239","KLB-MS14",101623.239479
"240","KLB-MS15",112910.15885
"241","KLB-MS16",105480.90405
"242","KLB-RM61",46836.091465
"243","KLB-RM71",29851.01939
"244","KLB-RM80_5",14256.381
"245","KLB-RM88",4040.59953425
"246","KLB-Rstr",124238.8311
"247","KLB-SacMouth",113951.4663
"248","KLB-Sacramento_Release",6714.9607695
"249","KLB-Steamboat",95605.803135
"250","KLB-Sutter",90527.493875
"251","KLB-UpperMiner",99681.031205
"252","KLB-Yolo_Release",162624.7351
"253","Lisbon-Base_TD",28880.43745
"254","Lisbon-BaseSteamboat",35906.14176
"255","Lisbon-BC_joint",29834.7357458333
"256","Lisbon-Chipps",66436.08075625
"257","Lisbon-Georgiana",56333.9047
"258","Lisbon-I_80_1",10846.70054
"259","Lisbon-KLB",138798.46455
"260","Lisbon-Lisbon",0
"261","Lisbon-Miner",30361.69395
"262","Lisbon-MS01",136997.693775
"263","Lisbon-MS02",133878.8397
"264","Lisbon-MS03",132425.1358
"265","Lisbon-MS04",131619.163175
"266","Lisbon-MS05",130566.23585
"267","Lisbon-MS06",126969.9788
"268","Lisbon-MS07",123801.436125
"269","Lisbon-MS08",116374.740733333
"270","Lisbon-MS09",112610.70215
"271","Lisbon-MS10",106902.7744
"272","Lisbon-MS11",15007.16775
"273","Lisbon-MS12",86334.1049633333
"274","Lisbon-MS13",64422.279366
"275","Lisbon-MS14",54193.014994
"276","Lisbon-MS15",68462.07845
"277","Lisbon-MS16",41420.30531
"278","Lisbon-RM61",91962.3731
"279","Lisbon-RM71",108947.44515
"280","Lisbon-RM80_5",124542.0836
"281","Lisbon-RM88",134757.865
"282","Lisbon-Rstr",14559.63346
"283","Lisbon-SacMouth",37891.78137
"284","Lisbon-Sacramento_Release",145513.4253
"285","Lisbon-Steamboat",49822.31023
"286","Lisbon-Sutter",48270.9707
"287","Lisbon-UpperMiner",39117.43337
"288","Lisbon-Yolo_Release",23826.27054
"289","Miner-Base_TD",8109.7439315
"290","Miner-BaseSteamboat",7446.165115
"291","Miner-BC_joint",11178.3708706667
"292","Miner-Chipps",37976.1041154167
"293","Miner-Georgiana",27873.92806
"294","Miner-I_80_1",41208.39449
"295","Miner-KLB",108436.77065
"296","Miner-Lisbon",30361.69395
"297","Miner-Miner",0
"298","Miner-MS01",106635.999825
"299","Miner-MS02",103517.14575
"300","Miner-MS03",102063.441833333
"301","Miner-MS04",101257.469225
"302","Miner-MS05",100204.54191
"303","Miner-MS06",96608.28487
"304","Miner-MS07",93439.74218
"305","Miner-MS08",86013.0468066667
"306","Miner-MS09",82249.00822
"307","Miner-MS10",76541.080454
"308","Miner-MS11",45368.86169
"309","Miner-MS12",55972.4110133333
"310","Miner-MS13",34060.585422
"311","Miner-MS14",25352.694892
"312","Miner-MS15",40002.10181
"313","Miner-MS16",12960.32867
"314","Miner-RM61",61600.67916
"315","Miner-RM71",78585.75124
"316","Miner-RM80_5",94180.38963
"317","Miner-RM88",104396.1711
"318","Miner-Rstr",15802.060485
"319","Miner-SacMouth",9431.804731
"320","Miner-Sacramento_Release",115151.7314
"321","Miner-Steamboat",19460.61629
"322","Miner-Sutter",17909.27675
"323","Miner-UpperMiner",8755.739424
"324","Miner-Yolo_Release",54187.96448
"325","MS01-Base_TD",114745.743725
"326","MS01-BaseSteamboat",109194.296775
"327","MS01-BC_joint",117814.3706875
"328","MS01-Chipps",140694.994863542
"329","MS01-Georgiana",100917.588375
"330","MS01-I_80_1",147844.394275
"331","MS01-KLB",1816.6764738
"332","MS01-Lisbon",136997.693775
"333","MS01-Miner",106635.999825
"334","MS01-MS01",867.144556767
"335","MS01-MS02",3118.8540633125
"336","MS01-MS03",4572.55797908333
"337","MS01-MS04",5378.530578125
"338","MS01-MS05",6431.4579100625
"339","MS01-MS06",10027.7149549167
"340","MS01-MS07",13196.25763875
"341","MS01-MS08",20622.9530108333
"342","MS01-MS09",24386.9916
"343","MS01-MS10",30094.919364
"344","MS01-MS11",152004.861475
"345","MS01-MS12",50663.5888008333
"346","MS01-MS13",72575.4143965
"347","MS01-MS14",99822.4686735
"348","MS01-MS15",111109.388075
"349","MS01-MS16",103680.133175
"350","MS01-RM61",45035.32066
"351","MS01-RM71",28050.24858125
"352","MS01-RM80_5",12455.61019
"353","MS01-RM88",2239.828724875
"354","MS01-Rstr",122438.0603125
"355","MS01-SacMouth",112150.695475
"356","MS01-Sacramento_Release",8515.731579
"357","MS01-Steamboat",93805.032325
"358","MS01-Sutter",88726.723065
"359","MS01-UpperMiner",97880.260395
"360","MS01-Yolo_Release",160823.964275
"361","MS02-Base_TD",111626.8897
"362","MS02-BaseSteamboat",106075.4427
"363","MS02-BC_joint",114695.516633333
"364","MS02-Chipps",137576.140808333
"365","MS02-Georgiana",97798.734295
"366","MS02-I_80_1",144725.54025
"367","MS02-KLB",4919.624872625
"368","MS02-Lisbon",133878.8397
"369","MS02-Miner",103517.14575
"370","MS02-MS01",3118.8540633125
"371","MS02-MS02",70.10272925125
"372","MS02-MS03",1453.7039155
"373","MS02-MS04",2259.67651475
"374","MS02-MS05",3312.60384675
"375","MS02-MS06",6908.86089091667
"376","MS02-MS07",10077.40357475
"377","MS02-MS08",17504.0989491667
"378","MS02-MS09",21268.1375375
"379","MS02-MS10",26976.065301
"380","MS02-MS11",148886.00745
"381","MS02-MS12",47544.7347375
"382","MS02-MS13",69456.560333
"383","MS02-MS14",96703.6145985
"384","MS02-MS15",107990.534
"385","MS02-MS16",100561.27915
"386","MS02-RM61",41916.466595
"387","MS02-RM71",24931.3945175
"388","MS02-RM80_5",9336.7561275
"389","MS02-RM88",879.025338475
