"","FishID","2013-03-06","2013-03-07","2013-03-08","2013-03-09","2013-03-10","2013-03-11","2013-03-12","2013-03-13","2013-03-14","2013-03-15","2013-03-16","2013-03-17","2013-03-18","2013-03-19","2013-03-20","2013-03-21","2013-03-22","2013-03-23","2013-03-24","2013-03-25","2013-03-26","2013-03-27","2013-03-28","2013-03-29","2013-03-30","2013-03-31","2013-04-01","2013-04-02"
"22","5850",0,8531.64,1458.44,1458.44,1458.44,1458.44,1458.44,1458.44,1458.44,243318.42,21911.83,27247.05,20066.86,8000.33,8000.33,8000.33,8000.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","5853",0,33099.99,5707.93,20318.3233333333,20318.3233333333,20318.3233333333,20318.3233333333,20318.3233333333,20318.3233333333,33780.4233333333,33780.4233333333,33780.4233333333,10955.915,10955.915,47313.92,16000.66,16000.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","5854",0,21909.26,2414.09428571429,2414.09428571429,2414.09428571429,2414.09428571429,2414.09428571429,2414.09428571429,2414.09428571429,121909.94,25335.3175,25335.3175,25335.3175,25335.3175,10955.915,10955.915,27247.05,20066.86,10667.1066666667,10667.1066666667,10667.1066666667,NA,NA,NA,NA,NA,NA,NA
"25","5857",0,38807.92,223251.21,21911.83,27247.05,38483.86,65836.56,18507.43,18507.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","5860",0,8531.64,1155.795,1155.795,1155.795,1155.795,1155.795,1155.795,1155.795,1155.795,1155.795,1155.795,1155.795,1155.795,1155.795,1155.795,1155.795,1155.795,1155.795,1155.795,131381.91,79429.45,21229.62,53766.14,43891.04,12338.2866666667,12338.2866666667,12338.2866666667
"27","5862",0,262059.13,21911.83,16151.31,13132.5575,13132.5575,13132.5575,13132.5575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","5863",0,29335.95,9471.97,121909.94,9212.84272727273,9212.84272727273,9212.84272727273,9212.84272727273,9212.84272727273,9212.84272727273,9212.84272727273,9212.84272727273,9212.84272727273,9212.84272727273,9212.84272727273,21911.83,47313.92,8000.33,8000.33,8000.33,8000.33,NA,NA,NA,NA,NA,NA,NA
"29","5865",0,160717.86,123253.1,27279.225,27279.225,8470.56,18507.43,18507.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","5866",0,533.2275,533.2275,533.2275,533.2275,533.2275,533.2275,533.2275,533.2275,533.2275,533.2275,533.2275,533.2275,533.2275,533.2275,533.2275,533.2275,253527.5,21911.83,47313.92,16000.66,16000.66,NA,NA,NA,NA,NA,NA
"31","5868",0,33099.99,228959.14,10955.915,10955.915,9082.35,9082.35,9082.35,20066.86,30416.08,65836.56,43891.04,37014.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","5869",6714.96,26385.03,5707.93,24805.69,24805.69,24805.69,24805.69,24805.69,24805.69,24805.69,24805.69,24805.69,21570.72,21570.72,11722.49,11722.49,11722.49,11722.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","5870",0,21909.26,16898.66,44650.242,44650.242,44650.242,44650.242,44650.242,21911.83,74326.6,37460.89,32918.28,32918.28,18507.43,18507.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
