Name,OriginID,DestinationID,Total_Length_m
Above_Hood - Battle_Conf,1,22,341746.4797
Above_Hood - BattleCk4,1,32,342666.218
Above_Hood - BattleCk3,1,31,345744.2846
Above_Hood - BattleCk1_2014,1,27,348119.174
Above_Hood - BattleCk2,1,28,349239.9956
Above_Hood - BattleCk_Bridge,1,23,349686.9729
Above_Hood - BattleCk2_2014,1,29,350619.1581
Above_Hood - BattleCk1,1,26,350988.2198
Above_Hood - BattleCk250BlwFL,1,30,351237.6169
Above_Hood - BattleCk_CNFH,1,24,351349.1491
Above_Hood - BattleCk_RST_Rel,1,25,351394.3535
Above_Hood - BlwCowCr,1,47,355605.4173
Above_Hood - Blw_ClearCr,1,35,370317.9912
Above_Hood - Bonnyview_Rel,1,52,375272.3676
Above_Hood - Blw_Cypress,1,36,378856.129
Above_Hood - Hwy 44 Bridge,1,93,382578.4132
Above_Hood - Caldwell Park_Rel,1,63,386095.5472
Abv Grimes - Abv Grimes,2,2,0
Abv Grimes - Colusa BC3,2,69,6271.422577
Abv Grimes - MeridanBr,2,103,9889.071956
Abv Grimes - AbvTisdale,2,9,12016.15998
Abv Grimes - Colusa BC2,2,68,15273.21075
Abv Grimes - BlwTisdale,2,51,20006.92452
Abv Grimes - AbvColusaBr,2,7,26729.62084
Abv Grimes - BlwMoulton,2,49,26729.62084
Abv Grimes - AbvColusaBrRT,2,8,33255.94078
Abv Grimes - Bullock Bend,2,54,34375.94804
Abv Grimes - Colusa AC2,2,66,37518.35142
Abv Grimes - SutterBypass Weir2 RST,2,132,39112.81739
Abv Grimes - Butte0.5,2,55,39158.1227
Abv Grimes - Butte1,2,56,39602.95295
Abv Grimes - BlwChinaBend,2,46,41042.19762
Abv Grimes - Butte2,2,57,50200.34338
Abv Grimes - Colusa AC3,2,67,50268.17815
Abv Grimes - BlwButteBr,2,45,57265.41896
Abv Grimes - KnightsLanding,2,100,58111.35608
Abv Grimes - KnightsLandingBr,2,101,60697.66123
Abv Grimes - Butte3,2,58,62255.22003
Abv Grimes - ButteBr,2,62,62949.51253
Abv Grimes - Butte4,2,59,63820.1281
Abv Grimes - Knights_RST,2,99,63994.85637
Abv Grimes - Butte5,2,60,70613.63334
Abv Grimes - Butte6,2,61,76031.52799
Abv Grimes - Abv_FremontWeir,2,3,77483.99405
Abv Grimes - Blw_FRConf,2,37,77483.99405
Abv Grimes - Blw_FremontWeir,2,38,77483.99405
Abv Grimes - BlwOrd,2,50,80451.82687
Abv Grimes - BC_Beach,2,33,88173.76717
Abv Grimes - StarBend,2,129,105994.7981
Abv Grimes - AR_Mouth,2,17,109141.4836
Abv Grimes - TowerBridge,2,138,110586.9573
Abv Grimes - I80_Br,2,95,111841.9901
Abv Grimes - FR Boyds Release,2,78,112304.1546
Abv Grimes - BoydsPump,2,53,112541.7311
Abv Grimes - Blw_IrvineFinch,2,40,113143.7726
Abv Grimes - SacTrawl1,2,122,115587.9468
Abv Grimes - AR_Upstream_Hwy80,2,20,115874.0586
Abv Grimes - SacTrawl2,2,123,115938.2109
Abv Grimes - ShanghaiBend,2,124,117044.8604
Abv Grimes - GCID_abv,2,82,122463.4375
Abv Grimes - GCID_blw,2,83,122463.4375
Abv Grimes - AR_Downstream_WattAve,2,16,123156.9835
Abv Grimes - Freeport Div.,2,80,129398.7015
Abv Grimes - FreeportBr,2,81,129398.7015
Abv Grimes - Freeport,2,79,130248.6742
Abv Grimes - AR_RanchoCordova,2,18,134634.8163
Abv Grimes - Abv_Otter_Island,2,4,137768.1834
Abv Grimes - SunsetPumps,2,131,140553.9946
Abv Grimes - AR_Sunrise_Ramp,2,19,141355.1393
Abv Grimes - Hood Release,2,90,142968.3636
Abv Grimes - Hood_RT,2,91,143112.4463
Abv Grimes - Abv_WoodsonBr,2,6,143591.3039
Abv Grimes - Above_Hood,2,1,143777.0302
Abv Grimes - Hood,2,89,144476.7196
Abv Grimes - Nimbus Hatchery RW,2,118,145056.3219
Abv Grimes - Blw_Hood,2,39,148212.0839
Abv Grimes - DeerCk4,2,76,148274.5632
Abv Grimes - Blw_Sutter,2,44,151196.0844
Abv Grimes - DeerCk3,2,75,151331.3693
Abv Grimes - DeerCk2,2,74,151626.887
Abv Grimes - SutterSlough,2,133,151695.858
Abv Grimes - Blw_Steamboat,2,43,154055.9004
Abv Grimes - SteamboatSlough,2,130,154301.3848
Abv Grimes - CoxRiffle,2,70,154736.7152
Abv Grimes - DeerCk1,2,73,155310.4686
Abv Grimes - MinorBlwSutter,2,112,158066.0511
Abv Grimes - MinerNorth,2,111,158159.9182
Abv Grimes - Gridley_Rel,2,88,158326.1699
Abv Grimes - DeerCk_RST,2,72,160182.736
Abv Grimes - Mill_Ck_Conf,2,105,160420.9632
Abv Grimes - SutterSteamJunc,2,134,160891.1922
Abv Grimes - MillCk3,2,110,162151.9766
Abv Grimes - MillCk2,2,109,163369.9094
Abv Grimes - Georgiana_Slough,2,85,163483.0335
Abv Grimes - BlwGeorgiana,2,48,163647.4276
Abv Grimes - MillCk1.5,2,108,167016.2021
Abv Grimes - Lower Minor,2,102,168180.0837
Abv Grimes - MillCk1,2,107,168617.0692
Abv Grimes - Hunters,2,92,169126.4995
Abv Grimes - MillCk_RST_Rel,2,106,169400.9886
Abv Grimes - YB_LibertyIsBase,2,140,170849.5676
Abv Grimes - BaseSutterSteam,2,21,171044.0828
Abv Grimes - Hwy84Ferry,2,94,172897.9308
Abv Grimes - AntelopeConf,2,13,173864.3563
