,Release.Location,LAT,LON,Year,Run,Type,Source,Study,link
42,SutterBypass_Weir2_RST_Rel,39.10239,-121.758801,2017,Spring,JSAT,CM,"Cordoleani, F., J. Notch, A. S. McHuron, A. J. Ammann, and C. J. Michel. 2018. Movement and Survival of Wild Chinook Salmon Smolts from Butte Creek During Their Out-Migration to the Ocean: Comparison of a Dry Year versus a Wet Year. Transactions of the American Fisheries Society ",https://doi.org/10.1002/tafs.10008
1,BattleCk_CNFH,40.39814,-122.1453,2012,Fall,JSAT,CM,NA,NA
2,FR_Boyds_Rel,39.05733,-121.6107,2014,Spring,JSAT,CM,Feather River Spring-run Chinook Acoustic Tagging Report 2013-2015 DRAFT,NA
3,Riverbank_Marina_Rel,38.6035,-121.5191,2012,Fall,JSAT,CM,"Singer, G. P., E. D. Chapman, A. J. Ammann, A. P. Klimley, A. L. Rypel, and N. A. Fangue. 2020. Historic Drought Influences Outmigration Dynamics of Juvenile Fall and Spring-Run Chinook Salmon. Environmental Biology of Fishes",https://doi.org/10.1007/s10641-020-00975-8
110,SacButteCityRamp,39.46,-121.99,2007,Late-fall,Vemco,CM,"Michel, C. J., A. J. Ammann, S. T. Lindley, P. T. Sandstrom, E. D. Chapman, M. J. Thomas, G. P. Singer, A. P. Klimley, and R. B. Macfarlane. 2015. Chinook Salmon Outmigration Survival in Wet and Dry Years in Californias Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences ",https://cdnsciencepub.com/doi/full/10.1139/cjfas-2014-0528
210,SacIrvineFinchRamp,39.75,-121.99,2007,Late-fall,Vemco,CM,"Michel, C. J., A. J. Ammann, S. T. Lindley, P. T. Sandstrom, E. D. Chapman, M. J. Thomas, G. P. Singer, A. P. Klimley, and R. B. Macfarlane. 2015. Chinook Salmon Outmigration Survival in Wet and Dry Years in Californias Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences ",https://cdnsciencepub.com/doi/full/10.1139/cjfas-2014-0528
310,SacJellyRamp,40.31,-122.18,2007,Late-fall,Vemco,CM,"Michel, C. J., A. J. Ammann, S. T. Lindley, P. T. Sandstrom, E. D. Chapman, M. J. Thomas, G. P. Singer, A. P. Klimley, and R. B. Macfarlane. 2015. Chinook Salmon Outmigration Survival in Wet and Dry Years in Californias Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences ",https://cdnsciencepub.com/doi/full/10.1139/cjfas-2014-0528
4,SacButteCityRamp,39.46,-121.99,2008,Late-fall,Vemco,CM,"Michel, C. J., A. J. Ammann, S. T. Lindley, P. T. Sandstrom, E. D. Chapman, M. J. Thomas, G. P. Singer, A. P. Klimley, and R. B. Macfarlane. 2015. Chinook Salmon Outmigration Survival in Wet and Dry Years in Californias Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences ",https://cdnsciencepub.com/doi/full/10.1139/cjfas-2014-0528
5,SacIrvineFinchRamp,39.75,-121.99,2008,Late-fall,Vemco,CM,"Michel, C. J., A. J. Ammann, S. T. Lindley, P. T. Sandstrom, E. D. Chapman, M. J. Thomas, G. P. Singer, A. P. Klimley, and R. B. Macfarlane. 2015. Chinook Salmon Outmigration Survival in Wet and Dry Years in Californias Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences ",https://cdnsciencepub.com/doi/full/10.1139/cjfas-2014-0528
6,SacJellyRamp,40.31,-122.18,2008,Late-fall,Vemco,CM,"Michel, C. J., A. J. Ammann, S. T. Lindley, P. T. Sandstrom, E. D. Chapman, M. J. Thomas, G. P. Singer, A. P. Klimley, and R. B. Macfarlane. 2015. Chinook Salmon Outmigration Survival in Wet and Dry Years in Californias Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences ",https://cdnsciencepub.com/doi/full/10.1139/cjfas-2014-0528
7,SacButteCityRamp,39.46,-121.99,2009,Late-fall,Vemco,CM,"Michel, C. J., A. J. Ammann, S. T. Lindley, P. T. Sandstrom, E. D. Chapman, M. J. Thomas, G. P. Singer, A. P. Klimley, and R. B. Macfarlane. 2015. Chinook Salmon Outmigration Survival in Wet and Dry Years in Californias Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences ",https://cdnsciencepub.com/doi/full/10.1139/cjfas-2014-0528
8,SacIrvineFinchRamp,39.75,-121.99,2009,Late-fall,Vemco,CM,"Michel, C. J., A. J. Ammann, S. T. Lindley, P. T. Sandstrom, E. D. Chapman, M. J. Thomas, G. P. Singer, A. P. Klimley, and R. B. Macfarlane. 2015. Chinook Salmon Outmigration Survival in Wet and Dry Years in Californias Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences ",https://cdnsciencepub.com/doi/full/10.1139/cjfas-2014-0528
9,SacJellyRamp,40.31,-122.18,2009,Late-fall,Vemco,CM,"Michel, C. J., A. J. Ammann, S. T. Lindley, P. T. Sandstrom, E. D. Chapman, M. J. Thomas, G. P. Singer, A. P. Klimley, and R. B. Macfarlane. 2015. Chinook Salmon Outmigration Survival in Wet and Dry Years in Californias Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences ",https://cdnsciencepub.com/doi/full/10.1139/cjfas-2014-0528
10,SacButteCityRamp,39.46,-121.99,2010,Late-fall,Vemco,CM,"Michel, C. J., A. J. Ammann, S. T. Lindley, P. T. Sandstrom, E. D. Chapman, M. J. Thomas, G. P. Singer, A. P. Klimley, and R. B. Macfarlane. 2015. Chinook Salmon Outmigration Survival in Wet and Dry Years in Californias Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences ",https://cdnsciencepub.com/doi/full/10.1139/cjfas-2014-0528
11,SacIrvineFinchRamp,39.75,-121.99,2010,Late-fall,Vemco,CM,"Michel, C. J., A. J. Ammann, S. T. Lindley, P. T. Sandstrom, E. D. Chapman, M. J. Thomas, G. P. Singer, A. P. Klimley, and R. B. Macfarlane. 2015. Chinook Salmon Outmigration Survival in Wet and Dry Years in Californias Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences ",https://cdnsciencepub.com/doi/full/10.1139/cjfas-2014-0528
12,SacJellyRamp,40.31,-122.18,2010,Late-fall,Vemco,CM,"Michel, C. J., A. J. Ammann, S. T. Lindley, P. T. Sandstrom, E. D. Chapman, M. J. Thomas, G. P. Singer, A. P. Klimley, and R. B. Macfarlane. 2015. Chinook Salmon Outmigration Survival in Wet and Dry Years in Californias Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences ",https://cdnsciencepub.com/doi/full/10.1139/cjfas-2014-0528
13,SacJellyRamp,40.31,-122.18,2011,Late-fall,Vemco,CM,"Michel, C. J., A. J. Ammann, S. T. Lindley, P. T. Sandstrom, E. D. Chapman, M. J. Thomas, G. P. Singer, A. P. Klimley, and R. B. Macfarlane. 2015. Chinook Salmon Outmigration Survival in Wet and Dry Years in Californias Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences ",https://cdnsciencepub.com/doi/full/10.1139/cjfas-2014-0528
14,Sacramento River System Release Site,38.48826,-121.618805,2012,Late-fall,Vemco,MJ,"Johnston, M. E., A. E. Steel, M. Espe, T. Sommer, A. P. Klimley, P. Sandstrom, and D. Smith. 2018. Survival of Juvenile Chinook Salmon in the Yolo Bypass and the Lower Sacramento River, California. San Francisco Estuary and Watershed Science ",https://escholarship.org/uc/item/8bq7t7rr
15,Yolo Bypass Release Site,38.67762,-121.64416,2012,Late-fall,Vemco,MJ,"Johnston, M. E., A. E. Steel, M. Espe, T. Sommer, A. P. Klimley, P. Sandstrom, and D. Smith. 2018. Survival of Juvenile Chinook Salmon in the Yolo Bypass and the Lower Sacramento River, California. San Francisco Estuary and Watershed Science ",https://escholarship.org/uc/item/8bq7t7rr
21,Sacramento River System Release Site,38.48826,-121.618805,2013,Late-fall,Vemco,MJ,"Johnston, M. E., A. E. Steel, M. Espe, T. Sommer, A. P. Klimley, P. Sandstrom, and D. Smith. 2018. Survival of Juvenile Chinook Salmon in the Yolo Bypass and the Lower Sacramento River, California. San Francisco Estuary and Watershed Science ",https://escholarship.org/uc/item/8bq7t7rr
23,Yolo Bypass Release Site,38.67762,-121.64416,2013,Late-fall,Vemco,MJ,"Johnston, M. E., A. E. Steel, M. Espe, T. Sommer, A. P. Klimley, P. Sandstrom, and D. Smith. 2018. Survival of Juvenile Chinook Salmon in the Yolo Bypass and the Lower Sacramento River, California. San Francisco Estuary and Watershed Science ",https://escholarship.org/uc/item/8bq7t7rr
32,Tisdale Weir,39.025019,-121.822511,2016,Late-fall,Vemco,JN,"Pope, A. C., R. W. Perry, B. N. Harvey, D. J. Hance, and H. C. Hansel. 2021. Juvenile Chinook Salmon Survival, Travel Time, and Floodplain Use Relative to Riverine Channels in the Sacramento San Joaquin River Delta. Transactions of the American Fisheries Society",https://afspubs.onlinelibrary.wiley.com/doi/epdf/10.1002/tafs.10271
33,Verona,38.7821,-121.615,2016,Late-fall,Vemco,JN,"Pope, A. C., R. W. Perry, B. N. Harvey, D. J. Hance, and H. C. Hansel. 2021. Juvenile Chinook Salmon Survival, Travel Time, and Floodplain Use Relative to Riverine Channels in the Sacramento San Joaquin River Delta. Transactions of the American Fisheries Society",https://afspubs.onlinelibrary.wiley.com/doi/epdf/10.1002/tafs.10271
34,Yolo Bypass @ Fremont Weir,38.762324,-121.651904,2016,Late-fall,Vemco,JN,"Pope, A. C., R. W. Perry, B. N. Harvey, D. J. Hance, and H. C. Hansel. 2021. Juvenile Chinook Salmon Survival, Travel Time, and Floodplain Use Relative to Riverine Channels in the Sacramento San Joaquin River Delta. Transactions of the American Fisheries Society",https://afspubs.onlinelibrary.wiley.com/doi/epdf/10.1002/tafs.10271
35,Yolo Bypass @ I5,38.677746,-121.644409,2016,Late-fall,Vemco,JN,"Pope, A. C., R. W. Perry, B. N. Harvey, D. J. Hance, and H. C. Hansel. 2021. Juvenile Chinook Salmon Survival, Travel Time, and Floodplain Use Relative to Riverine Channels in the Sacramento San Joaquin River Delta. Transactions of the American Fisheries Society",https://afspubs.onlinelibrary.wiley.com/doi/epdf/10.1002/tafs.10271
111,BtlCkAbatPnd,40.3980726,-122.1456537,2007,Late-fall,Vemco,CM,"Michel, C. J., A. J. Ammann, S. T. Lindley, P. T. Sandstrom, E. D. Chapman, M. J. Thomas, G. P. Singer, A. P. Klimley, and R. B. Macfarlane. 2015. Chinook Salmon Outmigration Survival in Wet and Dry Years in Californias Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences ",https://cdnsciencepub.com/doi/full/10.1139/cjfas-2014-0528
