Release Location,LAT,LON,Year,Run,Type,Source,Study,link
SacJellyRamp,40.31,-122.18,2011,Late-fall,Vemco,CM,"Michel, C.J.,  A.J. Ammann, E.D. Chapman, P.T. Sandstrom, H.E. Fish, M.J. Thomas, G.P. Singer, S.T. Lindley, A.P. Klimley, R.B. MacFarlane. 2013. The effects of environmental factors on the migratory movement patterns of Sacramento River yearling late-fall run Chinook salmon (Oncorhynchus tshawytscha). Environmental Biology of Fishes.",https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
Sacramento River System Release Site,38.48826,-121.618805,2012,Late-fall,Vemco,MJ,"Johnston, M.E., A.E. Steel, M. Espe, T. Sommer, A.P. Klimley, P. Sandstrom, D. Smith. 2018. Survival of juvenile Chinook salmon in the Yolo Bypass and the lower Sacramento River, California. San Francisco Estuary and Watershed Science",https://escholarship.org/uc/item/8bq7t7rr
Yolo Bypass Release Site,38.67762,-121.64416,2012,Late-fall,Vemco,MJ,"Johnston, M.E., A.E. Steel, M. Espe, T. Sommer, A.P. Klimley, P. Sandstrom, D. Smith. 2018. Survival of juvenile Chinook salmon in the Yolo Bypass and the lower Sacramento River, California. San Francisco Estuary and Watershed Science",https://escholarship.org/uc/item/8bq7t7rr
BattleCk_CNFH,40.398136,-122.145295,2013,Fall,JSAT,CM,"Zeug, S.C. 2016. Survival of juvenile Chinook salmon from the Lower American River to the Golden Gate Bridge.  Technical Memorandum to the Sacramento Water Forum, December 2016.",
Caldwell Park_Rel,40.593826,-122.398363,2013,Winter,JSAT,CM,Winter run AT 2013-2017 Report DRAFT,
FR_Boyds_Rel,39.057334,-121.610655,2013,Spring,JSAT,CM,"Cordoleani, F., J. Notch, A.S. McHuron, A.J. Ammann, C.J. Michel. 2017. Movement and survival of wild Chinook salmon smolts from Butte Creek during their outmigration to the ocean: comparison of a dry versus wet year. Transactions of the American Fisheries Society. ",https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10008
FR_Gridley_Rel,39.356356,-121.634895,2013,Spring,JSAT,CM,Singer et al. 2020. Historic drought influences outmigration dynamics of juvenile fall and spring-run Chinook Salmon. Environmental Biology of Fishes,https://link.springer.com/article/10.1007/s10641-020-00975-8
Sac_Ist_Bridge_Rel,38.585627,-121.506439,2013,Spring&Fall,JSAT,CM,Singer et al. 2020. Historic drought influences outmigration dynamics of juvenile fall and spring-run Chinook Salmon. Environmental Biology of Fishes,https://link.springer.com/article/10.1007/s10641-020-00975-8
Sacramento River System Release Site,38.48826,-121.618805,2013,Late-fall,Vemco,MJ,"Johnston, M.E., A.E. Steel, M. Espe, T. Sommer, A.P. Klimley, P. Sandstrom, D. Smith. 2018. Survival of juvenile Chinook salmon in the Yolo Bypass and the lower Sacramento River, California. San Francisco Estuary and Watershed Science",https://escholarship.org/uc/item/8bq7t7rr
Tisdale Release,39.024323,-121.821869,2013,Unknown,JSAT,CM,Singer et al. 2020. Historic drought influences outmigration dynamics of juvenile fall and spring-run Chinook Salmon. Environmental Biology of Fishes,https://link.springer.com/article/10.1007/s10641-020-00975-8
Yolo Bypass Release Site,38.67762,-121.64416,2013,Late-fall,Vemco,MJ,"Johnston, M.E., A.E. Steel, M. Espe, T. Sommer, A.P. Klimley, P. Sandstrom, D. Smith. 2018. Survival of juvenile Chinook salmon in the Yolo Bypass and the lower Sacramento River, California. San Francisco Estuary and Watershed Science",https://escholarship.org/uc/item/8bq7t7rr
